name_1,name_2,geometry,pop,tot_local_sources,tot_tax_revenue,tot_current_oper_income,total_oper_expenses,net_oper_income,total_non_income_receipts,capital_expenditure,total_non_oper_expenditures,cash_balance_end
Batangas,San Nicolas,POINT (120.9777514973425 13.96188759725373),22623.0,10.69491752,5.94186708,65.293285,53.28207301,12.01121199,0.12095668,2.7124354,2.7124354,17.46576882
Albay,Jovellar,POINT (123.5793917672458 13.04978944541827),17308.0,2.77881999,0.88317607,63.66866199,44.14485176,19.52381023,0.0,7.49203294,7.49203294,15.26320042
Albay,Legazpi City,POINT (123.7542859958306 13.10004935574789),196639.0,373.4428188,301.1539371,894.0215382,616.5852097,277.4363285,71.72115735,109.5690527,188.9229127,338.1009259
Albay,Libon,POINT (123.37057035313 13.24707926988299),75172.0,16.15757442,4.31490457,164.2443856,86.26168184,77.98270376,0.0,31.29498721,40.08710044,121.4817864
Albay,Oas,POINT (123.403413327676 13.16778566959949),67960.0,11.73992763,4.05070382,154.2776476,104.7420785,49.53556913,0.0,30.36351068,33.96929375,57.10686631
Apayao,Calanasan,POINT (121.0335604425085 18.2487765375832),12604.0,2.94673619,1.98319822,194.6624682,104.6009828,90.06148541,0.62329327,3.50748948,12.73626204,154.9677717
Benguet,Baguio City,POINT (120.5942527571275 16.40480587550202),345366.0,782.7045209,482.2916832,1568.332666,868.190368,700.1422981,10.7920417,27.00736766,27.00736766,851.9269721
Apayao,Conner,POINT (121.2535342752174 17.77107343082592),26051.0,4.70752046,3.75748586,146.7489097,91.23877993,55.51012979,0.066443,32.2364419,50.43917779,38.47573602
Albay,Bacacay,POINT (123.8524633061528 13.28545471503472),68906.0,10.52664684,5.7847044,138.4752265,74.98918652,63.48603996,0.0,4.39811573,4.39811573,188.2943091
Albay,Camalig,POINT (123.6376180773496 13.14185058532777),66904.0,18.45473435,13.35255861,145.2589964,82.869724,62.38927243,2.1414253,17.73153678,44.36365174,111.2847394
Benguet,Bakun,POINT (120.7030101942722 16.81084832519566),15357.0,16.78740261,11.99931858,96.11086106,68.00316657,28.10769449,0.0,3.70493068,3.70493068,83.24432434
Albay,Daraga,POINT (123.6901201040269 13.1115299379676),126595.0,83.68363468,27.85433044,279.0192973,196.443444,82.57585324,25.0,49.29918002,49.36095902,180.2824708
Albay,Guinobatan,POINT (123.5756400419004 13.1746325155481),82361.0,34.32376433,15.41467176,191.2400053,125.9997416,65.24026371,8.08495864,16.56596898,27.36695699,124.6268166
Albay,Ligao City,POINT (123.4944228728105 13.18230598991556),111399.0,70.90234027,33.81853425,532.1402042,286.5985873,245.5416168,0.98169903,56.3263527,59.86430762,570.2092063
Albay,Malilipot,POINT (123.7343885046572 13.30542197666598),37785.0,25.25960389,1.89189983,103.7074126,50.76018754,52.94722501,2.36950506,1.985553,2.051033,137.5252703
Albay,Malinao,POINT (123.6522756999749 13.38457469553166),45301.0,6.93521,4.86032421,102.255002,81.37739254,20.87760946,0.0,16.52887057,19.18733399,4.70251255
Albay,Manito,POINT (123.8780530181762 13.08632626841098),24707.0,31.40937629,27.3479652,101.4883743,51.05838839,50.42998586,0.0,13.14926997,13.14926997,142.5953717
Albay,Pio Duran,POINT (123.4679556798253 13.06251792808408),46693.0,8.58482323,3.34994107,145.4028004,87.70113592,57.7016645,0.0,1.05091398,1.05091398,80.2106826
Cavite,Mendez,POINT (120.8965005475754 14.12938733854253),31529.0,22.324926,9.70720563,90.742026,68.61028688,22.13173912,0.0,4.1035425,18.53094654,10.82608046
Albay,Polangui,POINT (123.505194032883 13.33267821603229),88221.0,35.20510014,14.97398217,187.2089196,121.9731105,65.23580918,0.0,14.35049786,15.26716449,99.4852508
Albay,Rapu-Rapu,POINT (124.0618005241283 13.23391067112944),36920.0,6.1268575,1.16714386,99.30380315,64.50035193,34.80345122,0.0,4.310638,6.310638,206.0431459
Aurora,Maria Aurora,POINT (121.4033540259388 15.77675700123682),40734.0,15.16507306,8.60347882,144.7588549,83.26260528,61.4962496,1.36101753,9.67926238,45.72433411,28.18244014
Aurora,San Luis,POINT (121.4533779620301 15.61397855516731),27352.0,9.23604493,2.88853267,143.3547169,88.34679936,55.00791757,0.28786645,0.17193004,23.81410376,74.32121085
Albay,Santo Domingo,POINT (123.7546742533821 13.24825878571122),34967.0,10.97755306,3.95234323,86.19623715,47.47207301,38.72416414,0.0,0.729849,0.729849,61.58064427
Albay,Tabaco City,POINT (123.6965701678983 13.3352261465887),133868.0,94.55877273,43.12176244,502.8957738,267.0900904,235.8056834,0.0,46.95520455,46.95520455,1215.712058
Albay,Tiwi,POINT (123.6156308905149 13.46293203574164),53120.0,50.49435999,32.38025093,156.8036851,93.84943896,62.95424615,0.0,3.15421655,3.15421655,154.5506538
Ifugao,Asipulo,POINT (121.0701835579599 16.6838012420319),15261.0,1.64248947,0.74624537,68.67278672,56.01350761,12.65927911,24.43830795,14.15377731,14.15377731,31.26081991
Tarlac,San Manuel,POINT (120.5973961496507 15.82881828678014),25504.0,8.90807771,2.47971806,205.0565052,55.47339947,149.5831057,0.0235,110.3455461,124.5033472,29.32597983
La Union,Tubao,POINT (120.4292652211391 16.3456772142974),28729.0,5.4127103,2.49095695,91.1430453,79.79705625,11.34598905,0.0,8.56710976,8.56710976,17.48662773
Apayao,Flora,POINT (121.414565744167 18.12750009112509),17391.0,9.16112492,3.72367976,95.89552354,69.52304269,26.37248085,12.0,0.223814,13.49674495,32.92276806
Apayao,Kabugao,POINT (121.1674364610636 18.00260271323485),15537.0,3.64452073,1.57793263,171.0953016,85.34801982,85.74728173,0.0,8.11589696,8.11589696,133.713235
Apayao,Luna,POINT (121.2393560280795 18.33204492521857),19063.0,7.16436674,3.43706511,129.8979807,70.00794542,59.89003532,0.0,13.6043927,13.6043927,192.354092
Apayao,Pudtol,POINT (121.3091477238465 18.15733705166387),14925.0,4.58848443,2.59965043,88.60784143,54.09939581,34.50844562,0.0,5.90450585,5.95450585,114.1582841
Apayao,Santa Marcela,POINT (121.4382562864379 18.29185808373228),13613.0,6.31847138,2.25773286,71.37239238,57.72493342,13.64745896,0.13875835,10.15535552,10.15535552,27.8666527
Aurora,Baler,POINT (121.5719322813461 15.73289811083794),39562.0,38.25198669,19.2181817,124.7606261,62.27895965,62.48166641,3.57848803,13.78243308,49.90859799,58.79644441
Aurora,Casiguran,POINT (122.0415503381934 16.2576153802633),24313.0,5.32090291,3.06429781,148.5845529,77.46965112,71.11490179,3.35465217,11.1565134,50.74966267,65.68560957
Aurora,Dilasag,POINT (122.1339116151296 16.4329452535096),15835.0,5.58701763,2.21226718,88.54774563,41.23408795,47.31365768,0.08060543,4.59823995,26.91482918,46.36944804
Aurora,Dinalungan,POINT (121.8597005136637 16.16856010514621),11322.0,3.24499805,1.34010138,81.25158605,61.8618355,19.38975055,0.0,0.1,18.01442726,13.69195713
Aurora,Dingalan,POINT (121.3796370136018 15.28477440883383),25482.0,6.64538678,2.91581268,99.73492382,59.7229671,40.01195672,0.3192243,0.46776608,23.66501288,23.19459197
Aurora,Dipaculao,POINT (121.6123820849337 15.98362304643123),29736.0,11.20850996,6.79232077,117.2022033,51.78250697,65.41969635,4.36232496,19.36401894,54.4234855,18.77967016
Bataan,Abucay,POINT (120.4848842860307 14.71799364941994),39880.0,32.18442132,16.36526339,117.898572,72.28096051,45.61761153,0.0,6.81906603,11.83556449,55.43913236
Bataan,Bagac,POINT (120.4258516884829 14.58413130171933),26936.0,22.0625137,14.98609709,109.7247844,76.53743098,33.18735342,0.01835228,18.87658597,22.77969709,16.47166195
Bataan,Balanga City,POINT (120.4928636247632 14.66714892938578),96061.0,265.636972,165.4783263,622.1345061,353.7387116,268.3957945,9.40286125,32.04974591,57.46721396,385.1887035
Bataan,Dinalupihan,POINT (120.4319221263359 14.86964611023262),106371.0,52.06329182,32.48345365,254.1161378,200.1140588,54.00207896,0.0,17.51791522,23.16612292,62.78452424
Batanes,Ivana,POINT (121.9267891963397 20.37607313034034),1327.0,2.54424364,0.41496802,31.34176155,30.37102337,0.97073818,0.0,0.1069,0.1069,6.43785053
Bataan,Hermosa,POINT (120.4474460103378 14.81326634935987),65862.0,41.5608752,20.4922414,191.8890174,120.2027775,71.68623995,4.821765,39.93604176,53.6757361,57.07672757
Bataan,Limay,POINT (120.5544423013713 14.53879008139642),68071.0,443.4658636,417.9308893,557.6752509,207.4054641,350.2697867,0.0,337.4025595,342.5005992,380.66794
Bataan,Mariveles,POINT (120.5113878226181 14.46726557095589),127536.0,393.0513298,361.0652743,600.7513325,304.0461412,296.7051913,5.00150245,60.10962353,60.10962353,460.2131708
Bataan,Morong,POINT (120.3225365717504 14.72699888268076),29901.0,42.23138487,28.06623629,141.4953881,86.93155885,54.56382923,0.0,42.11730364,45.14648688,41.21922784
Batanes,Mahatao,POINT (121.9511489053293 20.41071917171869),1555.0,2.97506975,0.45877383,31.75354075,25.37397856,6.37956219,0.0,0.65662,0.65662,19.00795866
Batanes,Sabtang,POINT (121.8512102904863 20.3109973863168),1621.0,5.30299647,0.57305162,37.51823247,34.11506024,3.40317223,0.0,0.40539546,0.40539546,9.36796025
Bataan,Orani,POINT (120.4774149752466 14.77844066240242),66909.0,57.40367612,30.39946589,171.8289721,124.6027301,47.22624201,45.26031755,11.03341864,17.17262716,120.7570246
Batangas,Agoncillo,POINT (120.9308797543075 13.96735345444677),38059.0,17.29535326,11.65823133,95.74669726,62.64323261,33.10346465,7.6,23.86911257,23.86911257,47.20455631
Bataan,Orion,POINT (120.5516268625992 14.60294533146599),56002.0,24.25363673,14.74961604,126.2090244,74.89100289,51.31802151,0.0,5.47859144,5.47859144,108.8299243
Batangas,Alitagtag,POINT (121.0163500314944 13.868056912004),25300.0,9.04798669,5.65728498,68.58285669,46.20759826,22.37525843,0.0,13.50582496,13.50582496,34.3859177
Batangas,Balayan,POINT (120.7343741125791 13.9679796908304),90699.0,65.41674131,29.88409354,211.3506903,158.9209937,52.42969659,0.0,24.64442113,43.15503985,38.75459798
Bataan,Pilar,POINT (120.5202099752877 14.63033645562067),41823.0,21.39295267,13.62877214,105.7398081,74.4831962,31.2566119,6.0514,17.86933409,24.80472293,24.36253763
Batangas,Balete,POINT (121.1114169532951 14.01295207764665),22661.0,3.7957157,2.41873699,59.14997022,42.33523095,16.81473927,-0.15531709,5.14955633,8.74200583,14.3106647
Bataan,Samal,POINT (120.4825571330873 14.75279679227481),35298.0,37.62299536,26.21790918,115.8802898,91.32028594,24.56000382,0.0,6.73801523,6.73801523,49.32087309
Batanes,Uyugan,POINT (121.9536795503075 20.37478153986286),1297.0,1.36946891,0.34964579,30.15799491,26.30226083,3.85573408,0.0,0.3057,0.3057,9.39313841
Batanes,Basco,POINT (121.9926254280944 20.45842207929962),8579.0,13.06413123,6.96086235,55.09926723,40.90940692,14.18986031,0.0,0.64318309,0.64318309,29.71011901
Batanes,Itbayat,POINT (121.8402797040431 20.76477730037411),2867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batangas,Batangas City,POINT (121.1020471054405 13.71005094395174),329874.0,1499.606357,1321.014182,2292.242078,1318.653124,973.5889544,5.73331709,293.584807,560.234327,1300.679789
Batangas,Bauan,POINT (120.9698892537921 13.80074714510782),91297.0,142.5469696,76.59372428,312.8015575,158.7943971,154.0071603,71.193,63.8604207,82.32268241,205.138249
Batangas,Laurel,POINT (120.9074331900601 14.05223757310355),39444.0,25.6931925,15.70811624,106.7247689,78.3893234,28.3354455,0.0,30.66746747,30.66746747,48.6081842
Batangas,Calaca,POINT (120.8236914260606 13.97948014948619),81859.0,308.4115657,273.0321618,441.4316332,256.3629496,185.0686836,0.0,61.0400849,61.0400849,177.0290349
Batangas,Calatagan,POINT (120.6585866267668 13.86384053131105),56449.0,38.72549863,24.82992052,148.9329167,107.1225016,41.81041501,9.1501,28.86773018,36.94572886,48.97930753
Batangas,Cuenca,POINT (121.053765680107 13.90952327565433),32783.0,14.10991168,6.07365498,88.19067817,61.40301007,26.7876681,0.0,20.09708419,20.09708419,72.17791709
Batangas,Ibaan,POINT (121.1406280693685 13.81827219817335),52970.0,26.02205768,12.99268195,124.4448358,115.1740736,9.2707622,0.0,0.98164,0.98164,26.30859981
Batangas,Lemery,POINT (120.8866285862244 13.95863412146302),93157.0,64.7304419,41.609064,212.370953,147.7996353,64.5713177,0.0,37.40067734,49.60811294,59.64984052
Batangas,Padre Garcia,POINT (121.2417994980737 13.87400182696764),48302.0,56.24177161,15.29696935,146.3490648,100.7606659,45.58839895,0.0,2.27784855,20.68831316,28.07672141
Batangas,Lian,POINT (120.6503041186481 13.9970851512901),52660.0,29.40537385,21.78750006,125.2213587,81.44889906,43.77245963,32.19460862,51.41924952,55.9760496,42.87036709
Batangas,Lipa City,POINT (121.1746864334777 13.9408657710783),332386.0,698.8991577,521.393532,1455.075471,1146.607053,308.468418,195.9219509,86.38326194,162.2723896,778.9697166
Batangas,Lobo,POINT (121.2613807211586 13.66704663781558),41504.0,14.50065598,5.88386076,109.665935,71.28651917,38.37941581,0.0,26.44301072,26.44301072,57.01223477
Batangas,Mabini,POINT (120.9129784601275 13.72955458960106),46211.0,87.03257974,70.67861008,176.9527349,113.4070418,63.5456931,0.0,32.07537415,34.06328501,90.10186096
Batangas,Malvar,POINT (121.1481990265554 14.03373817308474),56270.0,69.21873085,57.14746483,202.6840158,115.424315,87.25970077,0.0,30.7058344,30.7058344,121.8369935
Batangas,Mataas Na Kahoy,POINT (121.101930763051 13.97844892647293),29187.0,13.97327575,9.09305725,78.47662719,47.36300708,31.11362011,10.70766834,0.90831,18.87449507,60.34644864
Batangas,Nasugbu,POINT (120.6867021317462 14.12282369160507),134113.0,144.9882622,107.3468503,370.1124203,239.3959181,130.7165022,0.0,102.9356878,117.603755,87.88532249
Benguet,Mankayan,POINT (120.7884382928516 16.85492578064758),35953.0,14.00865134,9.27508793,111.1431745,66.94039547,44.20277901,0.23317498,0.50580775,0.50580775,150.464464
Batangas,Rosario,POINT (121.2707979233533 13.80613323944972),116764.0,71.78153791,48.22135431,265.3127278,182.6271,82.68562787,0.0,59.23716527,59.23716527,113.349164
Benguet,Sablan,POINT (120.5174958805896 16.49561836657432),11457.0,11.28927339,4.79466163,68.84826539,43.65523992,25.19302547,0.0,3.19502116,3.19502116,44.04612132
Batangas,San Jose,POINT (121.0901132265797 13.87787315404873),76971.0,61.54211665,38.53803902,184.4557048,106.5542901,77.90141471,0.0,28.00078567,28.00078567,229.4541158
Batangas,San Juan,POINT (121.3908942706897 13.75727436880331),108585.0,75.27065504,35.1353424,258.3149296,171.2843543,87.03057535,8.90973323,32.70973972,40.94023267,111.9771994
Batangas,San Luis,POINT (120.9464228019019 13.83612735735745),33149.0,8.63463964,4.96238449,79.99306417,52.81842123,27.17464294,0.0068149,3.58997677,4.69483055,71.88536283
